name,sequence,parent,id
Balance General,10,,ar
Activo,10,ar,activo
Activo Corriente,10,activo,activocorriente
Activo No Corriente,10,activo,activonocorriente
Pasivo,10,ar,pasivo
Pasivo Corriente,10,pasivo,pasivocorriente
Ingreso,10,ar,ingreso
Seccion Energia Electrica Ingresos,10,ingreso,ingresoenergia
Seccion Agua Potable Ingresos,10,ingreso,ingresoaguapotable
Seccion Servicios Sepelio Ingresos,10,ingreso,ingresosepelio
Seccion Gas Licuado Ingresos,10,ingreso,ingresogas
Seccion CCTV Ingresos,10,ingreso,ingresocctv
Seccion Internet Ingresos,10,ingreso,ingresointernet
Resultados Ajenos a la Explotacion Ingresos,10,ingreso,ingresoajenos
Egreso,10,ar,egreso
Gastos Indirectos,10,egreso,egresogastosindirectos
Seccion Energia Electrica Egresos,10,egreso,egresoenergia
Seccion Agua Potable Egresos,10,egreso,egresoaguapotable
Seccion Servicios Sepelio Egresos,10,egreso,egresosepelio
Seccion Gas Licuado Egresos,10,egreso,egresogas
Seccion CCTV Egresos,10,egreso,egresocctv
Seccion Internet Egresos,10,egreso,egresointernet
Resultados Ajenos a la Explotacion Egresos,10,egreso,egresoajenos
Patrimonio Neto,10,ar,,
